"Date" "Hydraulic" "Pumping_Turbine" "Nuclear" "Coal" "Combined_cycle" "Wind" "Solar_Photovoltaic" "Solar_Thermal" "Other_Renewables" "Cogeneration" "Electricity" "Consumption" "Gas_Price" "CO2_Price" "Balance_France" "Balance_Portugal" "Balance_Morocco"
"37" "01/2013" 3014.226655 372.340132 4573.278219 2875.60752 2586.29159 6291.574234 418.752891 113.494435 357.49281 2899.626105 50.504 NA NA 5.19 NA NA NA
"38" "02/2013" 3550.959097 342.600312 4420.669595 2413.779758 1937.659987 5340.996438 500.851015 204.009049 329.59547 2591.503176 45.043 NA NA 4.57 NA NA NA
"39" "03/2013" 4586.836004 457.149458 5208.391229 1236.112305 1471.632107 5749.103159 531.479938 125.370378 354.576681 2803.636154 25.919 NA NA 4.1 NA NA NA
"40" "04/2013" 5389.850388 370.515717 4453.463633 886.622734 1100.374634 4396.782103 725.435928 300.893605 364.007295 2743.157264 18.165 NA NA 3.84 NA NA NA
"41" "05/2013" 3818.802152 251.1484 3978.806297 1891.518836 1614.902184 3932.350082 832.560046 499.267989 370.571976 2753.089577 43.45 NA NA 3.51 NA NA NA
"42" "06/2013" 3208.650631 216.494262 4322.524901 2459.690718 1355.611329 3827.052263 886.251453 647.330053 346.658768 2580.880324 40.868 NA NA 4.25 NA NA NA
"43" "07/2013" 2723.541847 175.260794 5134.232246 5224.852042 2202.287831 2844.212849 929.532569 758.522911 385.951736 2571.729292 51.163 NA NA 4.21 NA NA NA
"44" "08/2013" 2143.533569 163.01642 5022.173757 4373.07242 2349.847505 3411.023511 857.080863 661.855805 369.30743 1990.427366 48.092 NA NA 4.39 NA NA NA
"45" "09/2013" 1825.858276 139.951742 4737.082166 4538.507335 2217.702231 3214.272503 724.785135 478.955228 348.411267 2401.208112 50.201 NA NA 5.21 NA NA NA
"46" "10/2013" 1866.429991 216.268295 4333.346795 4027.820251 2519.763735 3963.879786 603.790046 294.241952 355.785675 2473.046344 51.491 NA NA 4.91 NA NA NA
"47" "11/2013" 2804.706198 246.284625 4057.455982 2505.669158 2016.093317 6429.81384 490.22813 199.223861 358.260628 2473.079641 41.807 NA NA 4.52 NA NA NA
"48" "12/2013" 2449.010745 338.647028 3969.363299 4657.644235 2754.390855 4943.440014 417.62809 158.362269 384.657422 2528.560412 64.952 26980.8 NA 4.78 NA NA NA
"49" "01/2014" 4261.392824 443.678644 4526.062779 2293.159522 1809.988573 6570.961682 377.518728 79.800655 380.895587 2550.462421 36.39 29582.659 NA 4.97 264398.56 -766055.01 453756.65
"50" "02/2014" 5763.251167 369.221991 4721.937495 884.091427 1522.593868 5917.525957 434.3834 103.264502 293.997433 1876.056059 18.77 30180.664 NA 6.5 637739.57 -661942.29 493538.8
"51" "03/2014" 5293.018012 354.775253 5286.792276 1294.242753 1595.228047 5096.4476 735.970624 385.175316 305.878249 1831.179497 27.9 27977.736 NA 6.1 191038.81 -492128.47 496314.83
"52" "04/2014" 4986.856873 361.188617 5056.306647 1385.564216 1504.174671 3978.164753 791.985906 435.527059 266.467509 1618.663435 27.26 25939.177 NA 5.23 160460.69 23861.79 460812.44
"53" "05/2014" 2826.765233 275.956466 4336.633309 3367.749593 1711.553922 4177.875518 924.515196 729.935555 330.192006 1931.174991 43.18 25993.595 NA 5.08 -663482.7 435466.83 531193.7
"54" "06/2014" 2485.721725 207.702648 3416.66553 5213.203683 2019.807494 3310.964305 903.765521 687.288082 330.073196 2075.296108 51.92 27098.979 NA 5.57 -662640.12 548373.61 490979.74
"55" "07/2014" 2354.81707 170.772351 4253.41344 5611.649546 2125.220333 3637.13264 951.577792 811.153184 338.214082 2119.348257 49.09 28375.662 NA 5.93 -690533.99 802899.42 457360.71
"56" "08/2014" 2044.885495 151.656944 4205.395065 5290.263661 2491.271924 2916.901009 914.035232 833.17848 349.912526 1985.660948 50.71 27213.336 NA 6.23 -807125.71 632156.86 507383.06
"57" "09/2014" 1797.144646 160.190696 4801.362391 5911.342018 2974.35196 2145.217468 686.972707 389.595903 333.100127 2113.66175 59.9 28217.425 NA 6.01 -751789.14 619592.37 589457
"58" "10/2014" 1632.018124 267.502314 5126.607422 4545.617656 2509.485229 3398.887781 647.940198 289.33703 300.498959 2127.458855 56.84 26549.509 NA 6.08 -478457.06 468761.75 375179.39
"59" "11/2014" 2452.065474 326.908325 4363.827098 3230.149628 2288.022404 5093.13152 385.421021 90.187434 288.090285 1934.806734 48.68 27552.402 NA 6.84 -451837.39 -75583.06 496938.2
"60" "12/2014" 3284.048585 326.441799 4686.277883 4219.022794 2277.135572 4788.820615 453.839806 124.471726 298.995758 1989.474827 49.43 28677.597 NA 6.97 -247035.41 253398.09 477635.2
"61" "01/2015" 2554.830455 319.021036 5240.045056 5067.41596 2490.379756 4954.530712 518.440257 176.951396 301.803836 2164.162633 53.54 30522.904 NA 6.97 -615847.13 609377.35 350987.74
"62" "02/2015" 3559.006203 291.339649 4716.807315 3092.861456 1947.035374 5992.546665 494.227516 190.92526 245.329709 1925.052281 44.62 31326.464 NA 7.26 385144.13 -126157.91 364339.62
"63" "03/2015" 3845.583575 327.144743 5203.717493 2738.925538 1899.200696 4907.496058 713.261827 415.828662 274.297685 2080.709938 44.24 28477.213 NA 6.8 -47297.22 8218.03 404043.96
"64" "04/2015" 2662.811796 255.862712 4681.620985 3005.329369 2023.209475 3933.919984 755.910116 393.160486 201.677789 2013.602705 46.59 26164.334 NA 7.09 -405315.78 258785.59 439160.52
"65" "05/2015" 2967.173436 242.841461 3534.498833 2933.586651 1941.50747 4841.183286 924.092431 694.83874 274.889199 2076.463927 45.91 26598.561 NA 7.43 -800992.98 116659.33 526690.9
