"Date" "Hydraulic" "Pumping_Turbine" "Nuclear" "Coal" "Combined_cycle" "Wind" "Solar_Photovoltaic" "Solar_Thermal" "Other_Renewables" "Cogeneration" "Electricity" "Consumption" "Gas_Price" "CO2_Price" "Balance_France" "Balance_Portugal" "Balance_Morocco"
"138" "06/2021" 2182.252545 105.706304 3684.377943 473.579232 3658.878948 3684.170619 2325.571729 655.361716 358.010046 2181.276794 83.94 27396.615 28.9818420991285 52.78 -1311734.11 325826.75 -23449.92
"139" "07/2021" 2209.464624 115.895307 5119.328941 311.10233 3718.134418 4284.090513 2617.534056 828.492494 352.713786 2243.226356 92.8 29238.065 36.6950192775103 53.28 -1258247.71 558599.93 38396.81
"140" "08/2021" 1883.260803 159.688964 5151.337803 319.182668 4047.368387 3747.238495 2395.8309 661.445102 410.590237 2106.285519 106.45 28026.798 44.9656773262724 56.53 -1740762.58 1025925.99 45187.48
"141" "09/2021" 1396.698883 118.198104 4890.618221 477.087202 4943.197265 3234.274816 1927.916611 447.444657 396.278098 2166.101906 156.53 27451.433 65.6681674473363 61.02 -1187025.99 693389.08 44935.05
"142" "10/2021" 1023.215446 232.112394 4748.364457 527.419848 4407.05637 4359.563921 1777.274811 328.182894 433.047494 2147.907197 202.48 25657.163 89.4658347486753 59.43 -763593.61 880879.3 -59348.48
"143" "11/2021" 1199.445532 202.806599 3562.254807 576.437576 6317.636788 6421.739529 1347.957356 172.426246 434.361576 2173.751719 197.46 28332.588 84.5784458131785 66.04 817072.92 469756.71 1935.38
"144" "12/2021" 2536.803672 269.908819 3922.833452 719.926374 5154.143508 6910.032613 1023.70725 103.956001 436.423907 2175.103528 245.71 28067.934 112.120386847615 79.72 965309.55 377170.95 -48974.67
"145" "01/2022" 2085.857451 215.637741 5048.424951 709.963219 5898.394445 5414.77716 1569.291684 170.978835 428.663218 2147.921609 205.86 28928.075 83.4701356259173 84.28 424854.7 773725.52 -57019.92
"146" "02/2022" 1174.97017 285.079947 4771.058269 568.629528 4671.261013 4712.962772 1693.011465 208.192368 374.913003 2119.152721 202.01 28462.589 82.566891679751 90.79 -972510.55 1371382.7 44169.22
"147" "03/2022" 1764.806206 273.848153 4766.690052 705.226125 3873.2032 6528.440466 1455.368818 120.568374 423.887477 2217.055737 287.24 27335.172 127.580578574485 75.13 267811.56 603862.22 -21282.85
"148" "04/2022" 1782.053848 336.712619 4414.715447 691.004601 3146.865903 5655.806361 2581.307811 412.77761 430.376969 1709.641446 194.39 25573.021 90.1726213678502 81.52 784229.52 764531.07 22495.83
"149" "05/2022" 1922.302376 299.880038 4066.355361 527.154558 3713.639485 4687.64999 3380.729182 621.247495 397.335983 1870.643862 187.85 25714.457 77.5451207120679 85.3 383701.13 890944.8 37614.66
"150" "06/2022" 1190.985484 270.92393 4459.459166 833.22046 6478.937315 3807.180833 3215.923445 534.185927 415.748786 1467.383492 169.73 27780.093 98.5162769789111 83.47 265714.44 974729.5 205722.93
"151" "07/2022" 1043.519078 216.617594 5073.152498 882.232497 8460.459145 4566.002106 3381.156659 667.235783 409.345595 1053.738199 143.21 29628.327 128.971609232873 81.32 962763.04 1281068.27 152290.81
"152" "08/2022" 972.977692 339.372152 5122.04693 819.592534 8082.027681 4258.846638 3239.672293 619.95899 383.442347 779.410997 154.86 27593.656 166.435564459919 87.13 1449861.26 1032981.62 291628.77
"153" "09/2022" 1153.775681 304.810326 4847.367123 632.066719 7704.900731 4191.189274 2693.50188 437.343279 341.437356 739.19081 142.82 26464.136 118.534836584944 69.98 1786482.4 860718.93 244588.14
"154" "10/2022" 717.70239 385.661431 4021.440771 380.972026 7066.859015 5099.919318 2005.321354 166.240105 366.964524 1102.000335 128.91 24537.928 62.3169645601411 70.16 885198.73 920379.67 248569.85
"155" "11/2022" 1309.281418 361.663867 4231.577244 321.469754 4672.406377 6682.534764 1533.099321 104.768426 364.536652 1453.363695 117.35 25555.986 63.2453471636743 76.02 1170511.59 317370.27 116301.12
"156" "12/2022" 2744.808065 485.359059 5161.212451 693.672984 4368.592847 5570.282592 1115.958 59.778183 319.642072 1098.167328 101.43 25943.846 100.802334496992 85.76 1467793.26 -530227.42 150263.36
"157" "01/2023" 3851.610516 542.79745 5086.763589 296.207262 2708.550044 7454.607393 1684.861398 119.507124 290.078976 1210.711326 73.16 27964.719 59.4730622146225 80.29 941921.74 -184601.8 132242.78
